item name,amount,expiry
Canned soup (chicken noodle),24,2026-07-15
Toothpaste (standard tube),35,2027-01-01
T-shirt (men's size L),20,
Granola bars (variety pack),16,2026-08-12
Blankets (fleece),20,
Canned beans (black),30,2027-01-10
Travel toothbrush,50,
Shelf-stable milk (1L),22,2026-04-22
Jeans (men's size 34),10,
Bar soap,60,2027-03-15
Peanut butter (16 oz jar),20,2026-12-20
Bedsheet set (twin),14,
Dry pasta (spaghetti),40,2027-04-11
Hand sanitizer (small bottle),30,2026-08-18
T-shirt (men's size XL),16,
Crackers (saltine box),18,2026-08-05
Winter jacket (men's size L),5,
Instant oatmeal packets (box),12,2026-11-19
Socks (adult),60,
Applesauce cups (pack),14,2026-07-28
Shampoo (travel size),40,2026-10-10
Underwear (men's size M),18,
White rice (2 lb bag),15,2027-05-01
Pillow,12,
Canned soup (chicken noodle),18,2026-09-02
Deodorant stick,28,2027-02-02
Gloves (winter),12,
Granola bars (variety pack),10,2026-10-01
Disposable razors (pack),20,
Canned beans (black),12,2026-11-03
Blankets (heavy thermal),10,
Shelf-stable milk (1L),14,2026-05-30
Feminine hygiene pads (pack),25,2027-04-01
T-shirt (men's size M),14,
Dry pasta (spaghetti),25,2027-06-30
Sleeping bags,6,
Peanut butter (16 oz jar),8,2027-02-14
Hand sanitizer (small bottle),15,2026-11-25
Jeans (men's size 32),8,
Instant oatmeal packets (box),6,2026-09-07
Crackers (saltine box),9,2026-09-14
Underwear (men's size L),22,
White rice (2 lb bag),10,2027-03-18
Beanie hats,15,
Bar soap,25,2026-12-01
Toilet paper rolls,100,
Applesauce cups (pack),7,2026-10-10
Shampoo (travel size),18,2027-01-20
Bedsheet set (full),8,
Pillowcase,20,
Toothpaste (standard tube),20,2026-09-09
Feminine hygiene pads (pack),10,2026-12-12
Underwear (men's size XL),15,
Winter jacket (men's size XL),4,
Jeans (men's size 36),7,
Travel toothbrush,30,
Deodorant stick,12,2026-11-11